AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.Memory,2018-02-01T16:31:24.6876922Z,2018-02-01T16:33:11.264Z,d0c3e773-21b4-456a-942b-7eed300b17de,16.52,1.78,129.0,16
Dotyk.Application.AirHockey,2018-02-01T16:33:18.1554193Z,2018-02-01T16:55:51.11Z,710fd82b-072a-4d70-82c4-04a6d84f8596,16.55,22.55,115.0,16
Dotyk.Application.Memory,2018-02-01T16:33:19.35716Z,2018-02-01T16:33:26.773Z,ba864e96-7122-4230-ad9f-55b6ae622494,16.55,0.12,129.0,16
Dotyk.Application.Paint,2018-02-01T16:37:30.7984924Z,2018-02-01T16:37:58.063Z,b976808c-d740-477d-8187-ffad213b97b4,16.62,0.45,19.0,16
Dotyk.Application.PhotoShare,2018-02-01T16:38:08.0718534Z,2018-02-01T16:38:16.003Z,a8f08a22-15da-4282-847d-956d4417a841,16.63,0.13,19.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:38:21.4536272Z,2018-02-01T16:39:24.92Z,d7620236-a629-488c-9f2e-f51b9a815c44,16.63,1.06,19.0,16
Dotyk.Application.AirHockey,2018-02-01T16:40:32.5750186Z,2018-02-01T16:47:20.304Z,9c2e52f5-7402-449f-a5f1-f4a60d413397,16.67,6.8,19.0,16
Dotyk.Application.JigsawPuzzle,2018-02-01T16:47:37.145122Z,2018-02-01T16:48:14.95Z,d3544d24-422f-4a51-aac3-e54bf6640bf7,16.78,0.63,19.0,16
Dotyk.Application.Restaurant,2018-02-01T16:48:50.0159906Z,2018-02-01T16:49:01.962Z,a7cace28-d22a-4280-8563-6e9bbc4e47f4,16.8,0.2,175.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:49:05.8540107Z,2018-02-01T16:49:14.442Z,cdc0798c-aee9-41d4-81b2-4997c990f400,16.82,0.14,129.0,16
Dotyk.Application.Wallpapers,2018-02-01T16:49:20.9416233Z,2018-02-01T16:49:23.26Z,4ed89959-4a73-4f11-8079-cbbae9c0762e,16.82,0.04,129.0,16
